 pres temp vfr mfr    comp
 +030.16 +025.05 +0.4916 +1.0090    Air
 +030.16 +025.05 +0.4916 +1.0089    Air
 +030.16 +025.05 +0.4916 +1.0091    Air
 +030.17 +025.05 +0.4916 +1.0091    Air
 +030.16 +025.05 +0.4916 +1.0091    Air
 +030.17 +025.04 +0.4916 +1.0091    Air
 +030.16 +025.04 +0.4917 +1.0092    Air
 +030.17 +025.05 +0.4916 +1.0091    Air
 +030.17 +025.04 +0.4916 +1.0093    Air
 +030.17 +025.04 +0.4916 +1.0092    Air
 +030.17 +025.04 +0.4916 +1.0092    Air
 +030.17 +025.04 +0.4916 +1.0093    Air
 +030.17 +025.04 +0.4918 +1.0096    Air
 +030.17 +025.04 +0.4920 +1.0100    Air
 +030.17 +025.04 +0.4921 +1.0100    Air
 +030.17 +025.04 +0.4920 +1.0101    Air
 +030.17 +025.04 +0.4920 +1.0101    Air
 +030.17 +025.04 +0.4923 +1.0107    Air
 +030.17 +025.04 +0.4925 +1.0109    Air
 +030.17 +025.04 +0.4925 +1.0110    Air
 +030.17 +025.04 +0.4925 +1.0110    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0110    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4925 +1.0111    Air
 +030.17 +025.04 +0.4926 +1.0112    Air
 +030.17 +025.04 +0.4926 +1.0113    Air
 +030.17 +025.04 +0.4926 +1.0112    Air
 +030.17 +025.04 +0.4926 +1.0113    Air
 +030.17 +025.04 +0.4926 +1.0113    Air
 +030.17 +025.04 +0.4926 +1.0113    Air
 +030.17 +025.04 +0.4926 +1.0113    Air
 +030.17 +025.04 +0.4927 +1.0113    Air
 +030.17 +025.04 +0.4926 +1.0113    Air
 +030.17 +025.04 +0.4926 +1.0113    Air
 +030.17 +025.04 +0.4926 +1.0114    Air
 +030.17 +025.04 +0.4927 +1.0113    Air
 +030.17 +025.04 +0.4927 +1.0113    Air
 +030.17 +025.04 +0.4927 +1.0113    Air
 +030.17 +025.04 +0.4927 +1.0114    Air
 +030.17 +025.04 +0.4927 +1.0114    Air
 +030.17 +025.04 +0.4927 +1.0114    Air
 +030.17 +025.04 +0.4927 +1.0114    Air
 +030.17 +025.04 +0.4927 +1.0115    Air
 +030.17 +025.04 +0.4927 +1.0115    Air
 +030.17 +025.04 +0.4927 +1.0116    Air
 +030.17 +025.04 +0.4928 +1.0116    Air
 +030.17 +025.04 +0.4927 +1.0114    Air
 +030.17 +025.04 +0.4927 +1.0116    Air
 +030.17 +025.04 +0.4927 +1.0116    Air
 +030.17 +025.04 +0.4927 +1.0116    Air
 +030.17 +025.04 +0.4929 +1.0119    Air
 +030.17 +025.04 +0.4943 +1.0148    Air
 +030.17 +025.04 +0.4945 +1.0152    Air
 +030.17 +025.04 +0.4946 +1.0154    Air
 +030.17 +025.04 +0.4947 +1.0155    Air
 +030.17 +025.04 +0.4947 +1.0156    Air
 +030.17 +025.04 +0.4948 +1.0157    Air
 +030.17 +025.04 +0.4947 +1.0156    Air
 +030.17 +025.04 +0.4949 +1.0159    Air
 +030.17 +025.04 +0.4950 +1.0162    Air
 +030.16 +025.04 +0.4992 +1.0246    Air
 +030.16 +025.04 +0.4995 +1.0251    Air
 +030.16 +025.04 +0.4998 +1.0257    Air
 +030.16 +025.04 +0.4998 +1.0257    Air
 +030.16 +025.04 +0.5005 +1.0272    Air
