time_ms , sensor , currpos , mflow
83050 , b , -8000 , 6.479333
83100 , b , -8000 , 6.519335
83150 , b , -8000 , 6.465997
83200 , b , -8000 , 6.529334
83250 , b , -8000 , 6.508667
83300 , b , -8000 , 6.473997
83350 , b , -8000 , 6.467999
83400 , b , -8000 , 6.455331
83450 , b , -8000 , 6.492665
83500 , b , -8000 , 6.493334
83550 , b , -8000 , 6.481332
83600 , b , -8000 , 6.487334
84329 , b , -8400 , 6.750669
84379 , b , -8400 , 6.792001
84429 , b , -8400 , 6.733334
84479 , b , -8400 , 6.738002
84529 , b , -8400 , 6.744665
84579 , b , -8400 , 6.668668
84629 , b , -8400 , 6.761333
84679 , b , -8400 , 6.764666
84729 , b , -8400 , 6.676667
84779 , b , -8400 , 6.746000
84829 , b , -8400 , 6.731334
84879 , b , -8400 , 6.790666
84929 , b , -8400 , 6.743998
84979 , b , -8400 , 6.756664
85029 , b , -8400 , 6.773333
85079 , b , -8400 , 6.773335
85129 , b , -8400 , 6.733335
85179 , b , -8400 , 6.769335
85229 , b , -8400 , 6.771334
85279 , b , -8400 , 6.753333
85329 , b , -8400 , 6.733998
85379 , b , -8400 , 6.746000
85429 , b , -8400 , 6.792002
85479 , b , -8400 , 6.765331
85529 , b , -8400 , 6.736001
85579 , b , -8400 , 6.786000
85629 , b , -8400 , 6.797332
85679 , b , -8400 , 6.784666
85729 , b , -8400 , 6.746668
85779 , b , -8400 , 6.741332
85829 , b , -8400 , 6.770000
85879 , b , -8400 , 6.754001
85929 , b , -8400 , 6.753335
85979 , b , -8400 , 6.750669
86029 , b , -8400 , 6.726665
86079 , b , -8400 , 6.740664
86129 , b , -8400 , 6.762664
86179 , b , -8400 , 6.816000
86229 , b , -8400 , 6.737335
86279 , b , -8400 , 6.747998
86329 , b , -8400 , 6.732666
87058 , b , -8800 , 7.085333
87108 , b , -8800 , 7.100001
87158 , b , -8800 , 7.114000
87208 , b , -8800 , 7.128668
87258 , b , -8800 , 7.061335
87308 , b , -8800 , 7.056002
87358 , b , -8800 , 7.071334
87408 , b , -8800 , 7.104667
87458 , b , -8800 , 7.096001
87508 , b , -8800 , 7.112000
87558 , b , -8800 , 7.144668
87608 , b , -8800 , 7.149332
87658 , b , -8800 , 7.161998
87708 , b , -8800 , 7.121334
87758 , b , -8800 , 7.063334
87808 , b , -8800 , 7.063336
87858 , b , -8800 , 7.089334
87908 , b , -8800 , 7.078002
87958 , b , -8800 , 7.079336
88008 , b , -8800 , 7.109333
88058 , b , -8800 , 7.066665
88108 , b , -8800 , 7.069336
88158 , b , -8800 , 7.098669
88208 , b , -8800 , 7.138000
88258 , b , -8800 , 7.088666
88308 , b , -8800 , 7.101336
88358 , b , -8800 , 7.096003
88408 , b , -8800 , 7.045999
88458 , b , -8800 , 7.094001
88508 , b , -8800 , 7.123333
88558 , b , -8800 , 7.099334
88608 , b , -8800 , 7.082669
