"time_ms , temp_0 , temp_1 , temp_0-1 , diff_p , abs_p , sfm3300"
6074.94,833,784,49,42,254,0.0
6087.33,831,780,51,42,253,0.0
6100.6,833,784,49,42,254,0.0
6113.11,829,781,48,42,253,0.0
6125.62,829,781,48,42,253,-0.0333
6138.94,833,784,49,42,255,0.0
6151.43,828,780,48,43,252,0.0
6164.05,829,780,49,42,253,0.0
6177.64,834,783,51,41,254,0.0
6190.15,829,781,48,41,253,0.0
6202.78,833,784,49,41,254,0.0
6215.46,832,785,47,42,253,0.0
6227.66,830,781,49,43,253,0.0
6240.95,833,783,50,43,254,0.0
6253.46,829,781,48,42,253,0.0
6265.94,829,781,48,42,253,0.0
6279.18,840,784,56,42,256,0.0
6291.68,831,782,49,41,253,0.0
6304.22,825,779,46,42,252,0.0
6317.72,831,784,47,42,254,0.0
6330.23,829,780,49,42,254,0.0
6342.87,828,779,49,42,252,0.0
6355.92,831,783,48,43,254,0.0
6368.31,831,775,56,42,251,0.0
6381.41,833,783,50,42,254,0.0
6393.88,829,781,48,43,253,0.0
6406.4,829,781,48,42,253,0.0
6419.75,831,784,47,41,254,0.0
6432.27,828,781,47,42,253,0.0
6444.81,830,780,50,42,252,0.0
6458.41,829,787,42,41,253,0.0
6470.91,829,780,49,42,253,0.0
6483.5,833,783,50,43,254,0.0
6496.45,829,783,46,43,254,0.0
6508.78,828,778,50,42,252,0.0
6522.0,831,783,48,42,254,0.0
6534.46,828,779,49,42,252,0.0
6547.74,829,780,49,42,252,0.0
6560.98,831,783,48,42,254,0.0
6573.43,828,780,48,42,253,0.0
6586.08,826,780,46,41,252,0.0
6599.53,831,784,47,42,254,0.0
6611.94,828,778,50,42,253,0.0
6624.56,830,784,46,41,253,0.0
6637.4,831,783,48,42,254,0.0
6649.86,828,779,49,43,252,0.0
6663.15,830,783,47,42,253,0.0
6675.59,829,779,50,41,253,0.0
